date,year,month,county,rainfall_mm,spi1,spi3,spi6
1981-01-01,1981,1,Baringo,2.9050474979938605,-1.4500999872413072,,
1981-02-01,1981,2,Baringo,6.556596119587238,-0.36142026369909436,,
1981-03-01,1981,3,Baringo,78.40887636037974,1.8346177600939009,1.0673713198591037,
1981-04-01,1981,4,Baringo,85.38687382233448,1.1330806544556267,1.5748752566349224,
1981-05-01,1981,5,Baringo,38.40704666773478,-0.41473727740355143,1.2977802301663344,
1981-06-01,1981,6,Baringo,28.06895948801285,-0.6286742855831299,0.2766764247833466,0.7016764356381873
1981-07-01,1981,7,Baringo,71.2552840746366,1.248847893825385,0.02396204957785135,1.1387337163659956
1981-08-01,1981,8,Baringo,63.69051944047977,0.6560982909471124,0.6318156222814586,1.2910704684961831
1981-09-01,1981,9,Baringo,32.25817199609219,0.8301543349993309,1.0735359719489628,0.8218195772108269
1981-10-01,1981,10,Baringo,14.716029569774102,-1.3379514178573388,0.305470326425083,0.16037306302647264
1981-11-01,1981,11,Baringo,13.23483268389335,-1.3009474287459688,-0.9542487737842974,0.06057167525495872
1981-12-01,1981,12,Baringo,10.802291104732417,-0.611246424834758,-1.5189385161147677,0.08508424735909936
1982-01-01,1982,1,Baringo,8.401124829512376,-0.27623391017938026,-1.2440553636059326,-0.5068720838745521
1982-02-01,1982,2,Baringo,8.30059126095894,-0.1352692553141144,-0.5385075516010138,-0.9472625952209283
1982-03-01,1982,3,Baringo,16.779499046619122,-0.8254222269717114,-0.8680200732371698,-1.5558048188824163
1982-04-01,1982,4,Baringo,70.89470348847217,0.6988087797552124,-0.0033560905366242424,-0.6236705679859347
1982-05-01,1982,5,Baringo,86.48773500491411,1.395566096604315,0.8002972475567753,0.4224665797034413
1982-06-01,1982,6,Baringo,19.720105731181608,-1.4252909790613324,0.8171794143508332,0.23668859240823542
1982-07-01,1982,7,Baringo,29.73480152472472,-1.449810264021767,-0.030914360292828007,-0.07278804299216696
1982-08-01,1982,8,Baringo,59.31259158696884,0.450926932332024,-0.8448345904962874,0.10423025211687785
1982-09-01,1982,9,Baringo,17.063008785859132,-0.4680802022480817,-0.4952818859226375,0.2698868567537352
1982-10-01,1982,10,Baringo,40.85800154805183,1.1749995535242819,0.5091085410094344,0.25206317630246744
1982-11-01,1982,11,Baringo,69.03158022684929,1.9952658773296623,1.729302049796352,0.311900817449039
1982-12-01,1982,12,Baringo,28.331105119754103,0.826631674902363,1.7680310224977156,0.9004821241779127
1983-01-01,1983,1,Baringo,4.7365371630742,-0.9526239050932623,1.3112337953395679,1.192619969092092
1983-02-01,1983,2,Baringo,18.25252128136464,0.7559560126191451,0.42593810144365074,1.1746722364565274
1983-03-01,1983,3,Baringo,8.485376058480679,-1.6517690691733453,-0.9728635828364103,0.7807571814062813
1983-04-01,1983,4,Baringo,37.97234137852987,-0.5740339242560085,-0.9250961311478851,0.18462923501880504
