county,year,month,ndvi,n_composites,date
Baringo,2009,3,0.33433038830704415,4,2009-03-01
Baringo,2009,4,0.3817696721559986,3,2009-04-01
Baringo,2009,5,0.4824244749273354,4,2009-05-01
Baringo,2009,6,0.4726678506443178,4,2009-06-01
Baringo,2009,7,0.41383468898637665,4,2009-07-01
Baringo,2009,8,0.3651680123871908,4,2009-08-01
Baringo,2009,9,0.3399268369502268,4,2009-09-01
Baringo,2009,10,0.3788308171644374,3,2009-10-01
Baringo,2009,11,0.4128057568871075,4,2009-11-01
Baringo,2009,12,0.41641437132951703,4,2009-12-01
Baringo,2010,1,0.5185323732586511,4,2010-01-01
Baringo,2010,2,0.5073873619767026,4,2010-02-01
Baringo,2010,3,0.5706309782310001,4,2010-03-01
Baringo,2010,4,0.5927431020658375,3,2010-04-01
Baringo,2010,5,0.6249536867493428,4,2010-05-01
Baringo,2010,6,0.5858105359869866,4,2010-06-01
Baringo,2010,7,0.5477262543432282,4,2010-07-01
Baringo,2010,8,0.5696976426068568,4,2010-08-01
Baringo,2010,9,0.5466901542597475,4,2010-09-01
Baringo,2010,10,0.5000815000194613,3,2010-10-01
Baringo,2010,11,0.4611841749020723,4,2010-11-01
Baringo,2010,12,0.4056033466829887,4,2010-12-01
Baringo,2011,1,0.37215525800411586,4,2011-01-01
Baringo,2011,2,0.3416249000765019,4,2011-02-01
Baringo,2011,3,0.40211058395485144,4,2011-03-01
Baringo,2011,4,0.44187741981845696,3,2011-04-01
Baringo,2011,5,0.518293990277316,4,2011-05-01
Baringo,2011,6,0.5382458793202743,4,2011-06-01
Baringo,2011,7,0.5389331588918025,4,2011-07-01
Baringo,2011,8,0.6065637995775185,4,2011-08-01
Baringo,2011,9,0.6023990779257651,4,2011-09-01
Baringo,2011,10,0.5701321822324186,3,2011-10-01
Baringo,2011,11,0.6256651376270235,4,2011-11-01
Baringo,2011,12,0.6121865972549115,4,2011-12-01
Baringo,2012,1,0.49511545705562293,4,2012-01-01
Baringo,2012,2,0.3985420485879439,4,2012-02-01
Baringo,2012,3,0.36152506767151854,4,2012-03-01
Baringo,2012,4,0.5368506899438615,4,2012-04-01
Baringo,2012,5,0.6808588180689706,3,2012-05-01
Baringo,2012,6,0.609693957453807,4,2012-06-01
Baringo,2012,7,0.6168614110749667,4,2012-07-01
Baringo,2012,8,0.6362523898878232,4,2012-08-01
Baringo,2012,9,0.5851111856990551,4,2012-09-01
Baringo,2012,10,0.5635285961126405,4,2012-10-01
Baringo,2012,11,0.5590699821112955,3,2012-11-01
Baringo,2012,12,0.5268644904164901,4,2012-12-01
Baringo,2013,1,0.5009953973670523,4,2013-01-01
Baringo,2013,2,0.420890810713632,4,2013-02-01
Baringo,2013,3,0.4562574010830931,4,2013-03-01
Baringo,2013,4,0.6325903601693693,3,2013-04-01
Baringo,2013,5,0.6372466898390651,4,2013-05-01
Baringo,2013,6,0.5849339104822678,4,2013-06-01
Baringo,2013,7,0.5957378901365583,4,2013-07-01
Baringo,2013,8,0.6255502294439097,4,2013-08-01
Baringo,2013,9,0.5768956380849903,4,2013-09-01
Baringo,2013,10,0.5259345496126869,3,2013-10-01
Baringo,2013,11,0.572048332401294,4,2013-11-01
Baringo,2013,12,0.5604310770623333,4,2013-12-01
Baringo,2014,1,0.47688011317345114,4,2014-01-01
Baringo,2014,2,0.40792849040971874,4,2014-02-01
Baringo,2014,3,0.4461226431976048,4,2014-03-01
Baringo,2014,4,0.438765805582178,3,2014-04-01
Baringo,2014,5,0.47396678611454157,4,2014-05-01
Baringo,2014,6,0.4922287513898993,4,2014-06-01
Baringo,2014,7,0.48421931756306935,4,2014-07-01
Baringo,2014,8,0.5454777552913175,4,2014-08-01
Baringo,2014,9,0.5231271299479285,4,2014-09-01
Baringo,2014,10,0.5537038160812389,3,2014-10-01
Baringo,2014,11,0.5688700797857891,4,2014-11-01
Baringo,2014,12,0.5222012165720651,4,2014-12-01
Baringo,2015,1,0.4138565970399261,4,2015-01-01
Baringo,2015,2,0.3516725512442031,4,2015-02-01
Baringo,2015,3,0.3363637029313601,4,2015-03-01
Baringo,2015,4,0.49460361940394754,3,2015-04-01
Baringo,2015,5,0.6062561037141423,4,2015-05-01
Baringo,2015,6,0.5657340894102618,4,2015-06-01
Baringo,2015,7,0.5174914381975431,4,2015-07-01
Baringo,2015,8,0.48015714007976446,4,2015-08-01
Baringo,2015,9,0.4017457926738769,4,2015-09-01
Baringo,2015,10,0.3906349064462373,3,2015-10-01
Baringo,2015,11,0.5533294620310358,4,2015-11-01
Baringo,2015,12,0.5912871404804719,4,2015-12-01
Baringo,2016,1,0.520716646155563,4,2016-01-01
Baringo,2016,2,0.4184190647362713,4,2016-02-01
Baringo,2016,3,0.39319322250027666,4,2016-03-01
Baringo,2016,4,0.5360238348923536,4,2016-04-01
Baringo,2016,5,0.6308242213083488,3,2016-05-01
Baringo,2016,6,0.5920334360263484,4,2016-06-01
Baringo,2016,7,0.590528308777496,4,2016-07-01
Baringo,2016,8,0.5776451662205095,4,2016-08-01
Baringo,2016,9,0.48339550990838936,4,2016-09-01
Baringo,2016,10,0.4397650055956822,4,2016-10-01
Baringo,2016,11,0.41350967990404414,3,2016-11-01
Baringo,2016,12,0.3836570806341847,4,2016-12-01
Baringo,2017,1,0.343345698678003,4,2017-01-01
Baringo,2017,2,0.34271650218241057,4,2017-02-01
Baringo,2017,3,0.3275550700735746,4,2017-03-01
Baringo,2017,4,0.37365924746352247,3,2017-04-01
Baringo,2017,5,0.5037496495424665,4,2017-05-01
Baringo,2017,6,0.4681485016549956,4,2017-06-01
Baringo,2017,7,0.5491069547650081,4,2017-07-01
Baringo,2017,8,0.5993469380299676,4,2017-08-01
Baringo,2017,9,0.576757482622301,4,2017-09-01
Baringo,2017,10,0.5750436669804198,3,2017-10-01
Baringo,2017,11,0.593974584877096,4,2017-11-01
Baringo,2017,12,0.4866165564709287,4,2017-12-01
Baringo,2018,1,0.3898164253460317,4,2018-01-01
Baringo,2018,2,0.3607906302200098,4,2018-02-01
Baringo,2018,3,0.5087956139555663,4,2018-03-01
Baringo,2018,4,0.6472569099501176,3,2018-04-01
Baringo,2018,5,0.6783905671129946,4,2018-05-01
Baringo,2018,6,0.6760090960295103,4,2018-06-01
Baringo,2018,7,0.6170948505743513,4,2018-07-01
Baringo,2018,8,0.5521400767595152,4,2018-08-01
Baringo,2018,9,0.5286677015378808,4,2018-09-01
Baringo,2018,10,0.49239773066956144,3,2018-10-01
Baringo,2018,11,0.4777044969753164,4,2018-11-01
Baringo,2018,12,0.4932768146327082,4,2018-12-01
Baringo,2019,1,0.4313014074107045,4,2019-01-01
Baringo,2019,2,0.370148048394196,4,2019-02-01
Baringo,2019,3,0.35424736958579395,4,2019-03-01
Baringo,2019,4,0.36359236865811334,3,2019-04-01
Baringo,2019,5,0.41891224547100725,4,2019-05-01
Baringo,2019,6,0.6085537239995643,4,2019-06-01
Baringo,2019,7,0.6568809541982289,4,2019-07-01
Baringo,2019,8,0.6299794032573761,4,2019-08-01
Baringo,2019,9,0.5555076486698687,4,2019-09-01
Baringo,2019,10,0.570467219993663,3,2019-10-01
Baringo,2019,11,0.6128847652750339,4,2019-11-01
Baringo,2019,12,0.6298185756565067,4,2019-12-01
Baringo,2020,1,0.5788476695610656,4,2020-01-01
Baringo,2020,2,0.5600076826275953,4,2020-02-01
Baringo,2020,3,0.53195302087386,4,2020-03-01
Baringo,2020,4,0.6041208132368521,4,2020-04-01
Baringo,2020,5,0.6651692186900121,3,2020-05-01
Baringo,2020,6,0.6575345134480951,4,2020-06-01
Baringo,2020,7,0.6562294515438115,4,2020-07-01
Baringo,2020,8,0.6187697118459706,4,2020-08-01
Baringo,2020,9,0.6229687961863808,4,2020-09-01
Baringo,2020,10,0.6051204952163741,4,2020-10-01
Baringo,2020,11,0.620031923506171,3,2020-11-01
Baringo,2020,12,0.5176418547153745,4,2020-12-01
Baringo,2021,1,0.4353880089679742,4,2021-01-01
Baringo,2021,2,0.40396560043053586,4,2021-02-01
Baringo,2021,3,0.3969562046547523,4,2021-03-01
Baringo,2021,4,0.4500903065321555,3,2021-04-01
Baringo,2021,5,0.5893288545411783,4,2021-05-01
Baringo,2021,6,0.5224426450544809,4,2021-06-01
Baringo,2021,7,0.5363010886115628,4,2021-07-01
Baringo,2021,8,0.5658380672097337,4,2021-08-01
Baringo,2021,9,0.5662036205563806,4,2021-09-01
Baringo,2021,10,0.5438664801553411,3,2021-10-01
Baringo,2021,11,0.46501089208130386,4,2021-11-01
Baringo,2021,12,0.4119649421967337,4,2021-12-01
Baringo,2022,1,0.383275645434672,4,2022-01-01
Baringo,2022,2,0.3679853648494532,4,2022-02-01
Baringo,2022,3,0.29414935601333553,4,2022-03-01
Baringo,2022,4,0.45965604682425293,3,2022-04-01
Baringo,2022,5,0.5559185998843501,4,2022-05-01
Baringo,2022,6,0.5254249344755844,4,2022-06-01
Baringo,2022,7,0.5092794507058549,4,2022-07-01
Baringo,2022,8,0.5827104712701004,4,2022-08-01
Baringo,2022,9,0.5707722514937188,4,2022-09-01
Baringo,2022,10,0.4756595993907078,3,2022-10-01
Baringo,2022,11,0.42282053634801253,4,2022-11-01
Baringo,2022,12,0.4261060123792301,3,2022-12-01
Baringo,2023,1,0.4029415647182236,4,2023-01-01
Baringo,2023,2,0.326225050475547,3,2023-02-01
Baringo,2023,3,0.41819717443282844,4,2023-03-01
