date,year,month,county,rainfall_mm
1990-04-01,1990,4,Baringo,76.07662446437737
1990-05-01,1990,5,Baringo,39.73724113611075
1990-06-01,1990,6,Baringo,21.391535673386013
1990-07-01,1990,7,Baringo,43.451588601332446
1990-08-01,1990,8,Baringo,33.71174867581099
1990-09-01,1990,9,Baringo,16.051617508668166
1990-10-01,1990,10,Baringo,22.00316182902226
1990-11-01,1990,11,Baringo,22.085770733539874
1990-12-01,1990,12,Baringo,23.266123113876734
1991-01-01,1991,1,Baringo,12.76781830298595
1991-02-01,1991,2,Baringo,2.934398370217054
1991-03-01,1991,3,Baringo,42.992544550773424
1991-04-01,1991,4,Baringo,28.03752135985937
1991-05-01,1991,5,Baringo,39.74173426016783
1991-06-01,1991,6,Baringo,46.26329389229799
1991-07-01,1991,7,Baringo,45.08333424299191
1991-08-01,1991,8,Baringo,74.53818623469427
1991-09-01,1991,9,Baringo,20.48508928127778
1991-10-01,1991,10,Baringo,23.838285354085457
1991-11-01,1991,11,Baringo,17.1616581874016
1991-12-01,1991,12,Baringo,13.875283368428548
1992-01-01,1992,1,Baringo,6.084235333785033
1992-02-01,1992,2,Baringo,6.318310881272341
1992-03-01,1992,3,Baringo,12.806232795959865
1992-04-01,1992,4,Baringo,57.00646741818159
1992-05-01,1992,5,Baringo,33.94115582001515
1992-06-01,1992,6,Baringo,31.98873208363851
1992-07-01,1992,7,Baringo,52.106008192209096
1992-08-01,1992,8,Baringo,49.76365827413706
1992-09-01,1992,9,Baringo,22.68280674249698
1992-10-01,1992,10,Baringo,37.893197761285
1992-11-01,1992,11,Baringo,21.863073302537966
1992-12-01,1992,12,Baringo,20.702577721766936
1993-01-01,1993,1,Baringo,39.02200245979505
1993-02-01,1993,2,Baringo,31.850456817333516
1993-03-01,1993,3,Baringo,7.187699852234278
1993-04-01,1993,4,Baringo,22.449483349384405
1993-05-01,1993,5,Baringo,64.6479982425005
1993-06-01,1993,6,Baringo,40.124918874104814
1993-07-01,1993,7,Baringo,32.68003106484046
1993-08-01,1993,8,Baringo,30.64292574173365
1993-09-01,1993,9,Baringo,17.516792292472644
1993-10-01,1993,10,Baringo,14.295093762186857
1993-11-01,1993,11,Baringo,20.43201593955358
1993-12-01,1993,12,Baringo,11.78843335494017
1994-01-01,1994,1,Baringo,5.294642535234109
1994-02-01,1994,2,Baringo,6.871703361853575
1994-03-01,1994,3,Baringo,31.960513855860782
1994-04-01,1994,4,Baringo,58.8592386832604
1994-05-01,1994,5,Baringo,58.03730647258269
1994-06-01,1994,6,Baringo,54.40259587214543
1994-07-01,1994,7,Baringo,63.58665010501177
1994-08-01,1994,8,Baringo,57.43258644495255
1994-09-01,1994,9,Baringo,11.983712248313122
1994-10-01,1994,10,Baringo,15.936685059467951
1994-11-01,1994,11,Baringo,46.250752631211896
1994-12-01,1994,12,Baringo,8.586776946752499
1995-01-01,1995,1,Baringo,4.133226430110442
1995-02-01,1995,2,Baringo,15.142818491275493
1995-03-01,1995,3,Baringo,46.455838966369626
1995-04-01,1995,4,Baringo,36.70589510110708
1995-05-01,1995,5,Baringo,31.461146660340138
1995-06-01,1995,6,Baringo,33.70016756546803
1995-07-01,1995,7,Baringo,46.57728891617212
1995-08-01,1995,8,Baringo,41.208751409481735
1995-09-01,1995,9,Baringo,31.275917549622363
1995-10-01,1995,10,Baringo,38.20510484010745
1995-11-01,1995,11,Baringo,23.818906597907727
1995-12-01,1995,12,Baringo,16.173141467265594
1996-01-01,1996,1,Baringo,9.377511954918885
1996-02-01,1996,2,Baringo,12.012587868861663
1996-03-01,1996,3,Baringo,42.183490332579
1996-04-01,1996,4,Baringo,19.769508721278264
1996-05-01,1996,5,Baringo,33.21295496133658
1996-06-01,1996,6,Baringo,76.86849949176495
1996-07-01,1996,7,Baringo,83.61525202042017
1996-08-01,1996,8,Baringo,74.16190522022737
1996-09-01,1996,9,Baringo,23.762711544525928
1996-10-01,1996,10,Baringo,17.48392517054692
1996-11-01,1996,11,Baringo,32.06807056634854
1996-12-01,1996,12,Baringo,6.182686408360799
1997-01-01,1997,1,Baringo,4.584886288948548
1997-02-01,1997,2,Baringo,2.1460573728267964
1997-03-01,1997,3,Baringo,25.48971898005559
1997-04-01,1997,4,Baringo,119.07535766210312
1997-05-01,1997,5,Baringo,25.655567858769345
1997-06-01,1997,6,Baringo,39.7721563681578
1997-07-01,1997,7,Baringo,66.72424045464932
1997-08-01,1997,8,Baringo,50.59563814798991
1997-09-01,1997,9,Baringo,8.7984161847677
