county,reporting_date,year,month,ipc_phase,ipc_class,class_name,share_crisis_plus,mean_phase,classified_share,spi1_recent,spi3_recent,spi6_recent,spi3_prior,vci_recent,vci_prior1,vci_prior2,vci_trend,season,mean_annual_rain_mm,previous_class,months_since_previous,lead_months,split,is_study_county
Baringo,2011-01-01,2011,1,2,2,Stressed,0.0,1.790583870074513,0.9999705465033718,0.4743205188401673,0.7809368130921256,1.1577735776192002,0.459991978444816,56.78794666764039,73.05041198397348,75.44869686162158,-18.660750193981194,dry_jf,407.6410955536569,,,3,train,True
Bomet,2011-01-01,2011,1,1,1,Minimal,0.0,1.0015262760758556,1.000004320111171,0.903738984976364,0.9239639720324904,1.465204617252857,-0.1666252347774464,64.35396715288185,27.457068033374355,0.0,64.35396715288185,dry_jf,705.0356352221398,,,3,train,False
Bungoma,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9970604800760164,1.1621466421608533,0.745901574417057,1.163199142523324,-0.0926057464341415,33.8685795274586,13.649223477168611,63.40188021542383,-29.53330068796523,dry_jf,684.143518918554,,,3,train,False
Busia,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9131560514084084,0.6368939300541635,0.522773507180693,0.7317396430933908,-0.0345718368954536,61.56808587529368,62.37036581482446,57.334262335050575,4.233823540243108,dry_jf,504.89251568895395,,,3,train,False
Elgeyo-Marakwet,2011-01-01,2011,1,2,2,Stressed,0.0,1.9977073732362127,0.9999804467311296,0.7587497350409905,0.9750790238808632,1.6981795366561512,0.7279959906931794,67.155158995633,71.87761065389259,49.83790516823351,17.31725382739949,dry_jf,424.00498148048365,,,3,train,False
Embu,2011-01-01,2011,1,2,2,Stressed,0.0,1.744466795362324,0.9999282887249222,-0.1012049571443467,-0.2201359570630738,-0.2037773956078245,-0.0012599011815825,34.67960507140786,36.87781299355096,34.75290760041267,-0.07330252900480616,dry_jf,401.4457023614595,,,3,train,False
Garissa,2011-01-01,2011,1,2,2,Stressed,0.0043636483069202,2.0043636483069203,0.9995464608855014,-0.919833834507605,-0.9302539454332002,0.1138728494025,0.9464156639174204,11.586283332914704,37.17612009267268,63.59132005132447,-52.00503671840977,dry_jf,210.6771075185111,,,3,train,False
Homa Bay,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.6683932894055674,0.3744109556158899,0.7790415611293579,1.1155679730320205,0.242299041339398,47.22843513286963,39.9494107782695,16.41168062097683,30.816754511892796,dry_jf,658.3122810444571,,,3,train,False
Isiolo,2011-01-01,2011,1,3,3,Crisis or worse,0.9951347110504184,2.99506312549807,0.999993878242038,-0.2722866510595947,-0.2882735400517376,-0.2755470664319049,0.279388480227725,8.166634271548432,23.747206442205847,21.26837435635213,-13.101740084803698,dry_jf,121.15801476654195,,,3,train,False
Kajiado,2011-01-01,2011,1,2,2,Stressed,0.0,1.9999952052532517,0.9927236162577764,-0.267156278786286,-0.4030597031447024,0.5762901758950864,-0.3345669989721427,22.669141070842137,42.751131823057854,47.01468400756071,-24.345542936718573,dry_jf,244.0590119973267,,,3,train,False
Kakamega,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9999218544222171,1.06688313921139,0.9920170444550044,1.2091784672502977,0.1944237176167032,27.66794316215601,54.45980396895502,54.18767875501285,-26.519735592856836,dry_jf,521.962946970816,,,3,train,False
Kericho,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9999310645743662,0.7257465805251941,1.1535745946692673,1.5056392342049991,0.4690660438875964,75.08178089964072,22.62252521351228,32.1139931350883,42.96778776455242,dry_jf,577.6437811642602,,,3,train,False
Kiambu,2011-01-01,2011,1,1,1,Minimal,0.0,1.0032990281440006,0.9999994899103124,0.560228700740334,0.5392111182783287,1.0589332032137009,0.2507340167041358,62.53585285973029,57.46753358624253,45.01169884255006,17.52415401718023,dry_jf,365.1581675938478,,,3,train,False
Kilifi,2011-01-01,2011,1,2,2,Stressed,0.0,1.9952219173874604,0.994241227115709,-1.361102793776474,-1.1917623006399674,-0.4561857638614436,-1.1328466436970803,19.92115370851468,61.51341879150473,62.46338393704976,-42.54223022853508,dry_jf,485.9236308469297,,,3,train,False
Kirinyaga,2011-01-01,2011,1,1,1,Minimal,0.0,1.005365616171106,0.9994983861098944,-0.3385149085327045,-0.5030378077229556,-0.0720435319504201,-0.0139274642657465,0.0,37.21205894664474,49.930755919392666,-49.930755919392666,dry_jf,523.427425427593,,,3,train,False
Kisii,2011-01-01,2011,1,1,1,Minimal,0.0,1.0006370727546363,1.0000313807396553,0.5519919143523595,0.3384383353139915,1.0454426131420738,-0.2707690338583925,62.52054592786842,77.97984255221205,7.412268674883944,55.10827725298447,dry_jf,771.8724273402603,,,3,train,False
Kisumu,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.7827415653954494,0.2978307449986477,0.6723588729691291,1.0040958529375463,0.3197998954536487,58.5126579123102,45.59182516852376,8.449629305586972,50.06302860672323,dry_jf,650.4965825795291,,,3,train,False
Kitui,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9999941226566244,-0.9860489365495764,-0.9515092383109124,-0.9839037237793276,-0.7376127921399143,18.60265229902419,62.76057052933879,78.60034648163078,-59.997694182606594,dry_jf,350.0498777837523,,,3,train,False
Kwale,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9912685114672192,-1.0593743352871672,-0.895063171778317,-0.1337739509438024,-0.5168304807857257,20.948871381340144,54.388433803324254,61.26001003341074,-40.311138652070596,dry_jf,461.4118591660762,,,3,train,False
Laikipia,2011-01-01,2011,1,2,2,Stressed,0.0037013978983079,2.000789708633966,1.0000037896120522,-0.3148500673712249,0.2022122561999626,0.3187556951310507,0.147520176940069,71.83961457036756,90.72529937256428,79.51124468768883,-7.671630117321271,dry_jf,378.6133408439104,,,3,train,False
Lamu,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.977356380818854,-1.309860144039373,-0.5797915461111368,0.4557025009731571,0.8593192823516952,29.26760279776606,70.9849649744447,72.09668645194283,-42.82908365417677,dry_jf,394.8891092289726,,,3,train,False
Machakos,2011-01-01,2011,1,2,2,Stressed,0.0,1.9983432164547923,0.9999707917323208,-0.2288476215088747,-0.3318315290749608,0.0198014836066518,-0.5284540448904815,25.105783432658804,57.45724731780819,66.36028285645523,-41.254499423796425,dry_jf,347.0698296320569,,,3,train,False
Makueni,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9999634120593888,-0.7228020215921627,-0.9038200896894862,-0.5958765959822144,-1.110176500726666,23.144793566509428,59.192074689701045,62.33198440905739,-39.18719084254796,dry_jf,210.84898907247097,,,3,train,False
Mandera,2011-01-01,2011,1,3,3,Crisis or worse,1.0,3.0,0.9935598900285671,-0.3817009196825946,-0.4348837528299981,-1.016311131336002,-0.9029890874412332,15.702904092751291,26.70613387195548,51.06143927861679,-35.3585351858655,dry_jf,147.72597818452132,,,3,train,False
Marsabit,2011-01-01,2011,1,3,3,Crisis or worse,0.8023274179471376,2.802327417947138,0.9994535327492756,-0.3870436915773778,-0.4510859456170091,-0.4056080297146719,-0.2343718977619262,4.089418039894932,33.746963296669634,29.054848440186014,-24.965430400291083,dry_jf,183.11284628508548,,,3,train,True
Meru,2011-01-01,2011,1,2,2,Stressed,0.0052724504222519,1.5838873659897472,0.9999854823459616,-0.5070123010005614,-0.5375938607430261,-0.6170184729292821,0.3654853562091252,23.004063487022727,41.34996530553129,30.722339516195227,-7.7182760291725,dry_jf,469.95952152110806,,,3,train,False
Migori,2011-01-01,2011,1,1,1,Minimal,0.0,1.0016690731682976,0.8117135191457311,1.032834769148706,0.87467443934203,1.1923160439469505,-0.2453148018961413,60.41269460756804,52.2602699971487,26.05827328417642,34.35442132339162,dry_jf,460.4970135975702,,,3,train,False
Mombasa,2011-01-01,2011,1,1,1,Minimal,0.0,1.341609487598849,0.9455242931112856,-1.3666486358426322,-1.3875608349001654,-0.0903280067089788,-0.7586392538422867,30.94900356755755,63.37834986284029,74.0504496785992,-43.10144611104164,dry_jf,339.4545465241538,,,3,train,False
Murang'a,2011-01-01,2011,1,1,1,Minimal,0.0,1.0013294323786135,0.9999691888704983,-0.1302730702871682,-0.1836733035213482,0.46880351195139,-0.1100906391197272,43.61801834196498,54.02799177028985,49.4632646638747,-5.845246321909727,dry_jf,600.9606534616394,,,3,train,False
Nairobi,2011-01-01,2011,1,1,1,Minimal,0.0,1.0380403787287664,0.9999545666172184,0.5411442457322471,0.4700971541899449,1.154913975720954,0.1721518325136785,39.47373220091145,51.3592742000032,46.1678648779966,-6.69413267708515,dry_jf,349.07589029272395,,,3,train,False
Nakuru,2011-01-01,2011,1,1,1,Minimal,0.0,1.0036575694214165,0.9999838839897714,0.6258523219541238,1.317905644016126,1.292428379280022,0.2865107589534796,77.04638668774591,93.36445396884544,59.55566846234056,17.490718225405345,dry_jf,337.82261196850334,,,3,train,False
Nandi,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9999550383826554,1.1313328370462754,0.9969867599468158,1.334098588469901,0.3034456308680396,12.541366689144937,0.0,52.62826539565279,-40.08689870650785,dry_jf,636.3375639959971,,,3,train,False
Narok,2011-01-01,2011,1,2,2,Stressed,0.0,1.999313758980872,0.9927452342398364,1.4644252471252288,1.5104006762252251,1.4229976557926691,-0.2813125343955552,79.94684981113846,52.19957636945209,11.205894130641685,68.74095568049678,dry_jf,449.4351533314782,,,3,train,False
