county,reporting_date,year,month,ipc_phase,ipc_class,class_name,share_crisis_plus,mean_phase,classified_share,spi1_recent,spi3_recent,spi6_recent,spi3_prior,vci_recent,vci_prior1,vci_prior2,vci_trend,season,mean_annual_rain_mm,previous_class,months_since_previous,lead_months,split,is_study_county
Baringo,2011-01-01,2011,1,2,2,Stressed,0.0,1.790583870074513,0.9999705465033718,0.550785748414045,1.1331947472323756,1.8984143583521924,1.5427706018488323,55.08892113200934,65.33654646487507,78.65781148989063,-23.568890357881294,dry_jf,407.6410955536569,,,6,train,True
Bomet,2011-01-01,2011,1,1,1,Minimal,0.0,1.0015262760758556,1.000004320111171,-0.5800762631606611,1.162721870491083,1.911413164869644,1.4659330086483633,24.223522892458668,67.49707201997114,69.9020302540363,-45.67850736157764,dry_jf,705.0356352221398,,,6,train,False
Bungoma,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9970604800760164,-0.0061483868683289,1.1172318983747225,2.328785908628499,1.6549069975374424,36.33383633323934,69.20198246088295,63.8528126394684,-27.518976306229057,dry_jf,684.143518918554,,,6,train,False
Busia,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9131560514084084,-0.6919885711348122,0.6183244081960348,1.5652162577215951,1.0669012026690243,31.477880914771266,37.710199800383926,58.09544389855533,-26.617562983784065,dry_jf,504.89251568895395,,,6,train,False
Elgeyo-Marakwet,2011-01-01,2011,1,2,2,Stressed,0.0,1.9977073732362127,0.9999804467311296,0.7117415737888046,1.741677294832395,2.055255795091944,1.5492263393988923,48.3863433624495,93.77578157983945,84.37690361127727,-35.99056024882777,dry_jf,424.00498148048365,,,6,train,False
Embu,2011-01-01,2011,1,2,2,Stressed,0.0,1.744466795362324,0.9999282887249222,0.3992116223451011,0.052982314142834,0.6898159607628112,0.4646530207653062,43.98002053083559,49.157851445850966,71.02493727723815,-27.044916746402563,dry_jf,401.4457023614595,,,6,train,False
Garissa,2011-01-01,2011,1,2,2,Stressed,0.0043636483069202,2.0043636483069203,0.9995464608855014,1.431197871072749,1.293728050459561,1.5074188650237017,1.3502314948064282,54.243362900711865,43.9942679788466,50.09944044731259,4.143922453399277,dry_jf,210.6771075185111,,,6,train,False
Homa Bay,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.6683932894055674,-0.5980199881096505,0.8117914324729986,1.5563250013479528,0.9141686604746267,45.939820630101416,63.11713431359178,41.31692500615831,4.6228956239431085,dry_jf,658.3122810444571,,,6,train,False
Isiolo,2011-01-01,2011,1,3,3,Crisis or worse,0.9951347110504184,2.99506312549807,0.999993878242038,0.4991854970680556,0.1898297512098428,0.6952789689923708,0.6124409499129877,17.611069073997967,19.53880317520257,21.45737865294837,-3.846309578950404,dry_jf,121.15801476654195,,,6,train,False
Kajiado,2011-01-01,2011,1,2,2,Stressed,0.0,1.9999952052532517,0.9927236162577764,-1.3039889937061069,0.7903343629090313,0.8686667210146354,0.704855461098082,35.63905781454537,38.23818494463109,56.0549288610592,-20.415871046513836,dry_jf,244.0590119973267,,,6,train,False
