date,year,month,county,rainfall_mm,clim_mean,clim_sd,rain_anom,rain_3m_mm,rain_anom_3m
1981-01-01,1981,1,Baringo,2.9050474979938605,12.175140861792443,9.661411702721928,-0.9594967742847457,,
1981-02-01,1981,2,Baringo,6.556596119587238,12.433853668315798,12.624683151811952,-0.46553703392429535,,
1981-03-01,1981,3,Baringo,78.40887636037974,33.538288661190585,18.99697684721576,2.361985702254803,87.87051997796084,1.0631278600365106
1981-04-01,1981,4,Baringo,85.38687382233448,55.290267157676894,25.935311425405434,1.160449017595982,170.35234630230144,1.805843937000832
1981-05-01,1981,5,Baringo,38.40704666773478,50.86434316977476,23.42716768065042,-0.5317457352016581,202.202796850449,1.4641219196240893
1981-06-01,1981,6,Baringo,28.06895948801285,37.96506843958146,15.124655493975114,-0.6543030983754115,151.8628799780821,0.19840026982183942
1981-07-01,1981,7,Baringo,71.2552840746366,50.707096555253386,15.625329322207063,1.3150562842972968,137.73129023038425,-0.054655656084064926
1981-08-01,1981,8,Baringo,63.69051944047977,52.71282430693635,19.467189953102025,0.5639075367317801,163.01476300312922,0.5602584869304975
1981-09-01,1981,9,Baringo,32.25817199609219,23.653280131979887,12.947685728278392,0.6645891817808635,167.20397551120857,1.0626381670375233
1981-10-01,1981,10,Baringo,14.716029569774102,27.8382556513283,11.06809545318097,-1.1855902523665778,110.66472100634606,0.2152169812673185
1981-11-01,1981,11,Baringo,13.23483268389335,30.94603231254806,17.868223743249214,-0.9912121027332765,60.20903424975964,-0.8908527165381003
1981-12-01,1981,12,Baringo,10.802291104732417,19.51664463727902,15.045790664753511,-0.5791888061397115,38.75315335839987,-1.2206097242304919
1982-01-01,1982,1,Baringo,8.401124829512376,12.175140861792443,9.661411702721928,-0.39062780351413917,32.43824861813815,-1.0141511559956418
1982-02-01,1982,2,Baringo,8.30059126095894,12.433853668315798,12.624683151811952,-0.32739533797833437,27.504007195203734,-0.5597632786710339
1982-03-01,1982,3,Baringo,16.779499046619122,33.538288661190585,18.99697684721576,-0.8821819255429407,33.48121513709044,-0.8822452391104636
